Factor,Groups,df_between,df_within,F,p-value,Levene_p,GroupName_1,N_1,Mean_1,Std_1,Shapiro_p_1,Normal_1,GroupName_2,N_2,Mean_2,Std_2,Shapiro_p_2,Normal_2,GroupName_3,N_3,Mean_3,Std_3,Shapiro_p_3,Normal_3,GroupName_4,N_4,Mean_4,Std_4,Shapiro_p_4,Normal_4,GroupName_5,N_5,Mean_5,Std_5,Shapiro_p_5,Normal_5,Subset
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,11875,104.34760396568338,1.6903116690772827e-87,1.9715748234150737e-150,2001 Reinhard,2376,87.66345169131192,28.069509816131347,8.917365055156262e-30,False,2016 Zhang,2376,87.77115441273315,15.779645735712755,5.244303371731885e-11,False,2017 Zhang,2376,80.30817645536246,17.676908611589894,0.010182569855534968,False,2018 Antic,2376,81.9858503926593,16.441293197454463,0.000871918970833846,False,2023 Kang,2376,89.39834494225,14.519170880677317,1.1640184154186116e-05,False,Non-White
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,1975,15.963148180990963,7.213676176939603e-13,3.143685967110336e-23,2001 Reinhard,396,86.74342421714732,26.691236776439222,8.414381048222534e-13,False,2016 Zhang,396,88.40077558134449,14.869902358147517,6.504680233972606e-05,False,2017 Zhang,396,81.4774961354481,17.054356600986637,0.0047999773669362,False,2018 Antic,396,83.08126330482527,15.936399774214847,0.0010009115825591252,False,2023 Kang,396,90.33949353588669,14.13596216727581,0.00013636857228382785,False,Black
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,1975,20.112411011344978,2.9871230915062237e-16,1.0891718584776635e-24,2001 Reinhard,396,88.9122857824977,26.37255335883256,5.76834648636347e-10,False,2016 Zhang,396,88.1549584805445,14.928682188645684,0.05442137231962173,True,2017 Zhang,396,81.1066618766139,16.517157113634447,0.3221296407917218,True,2018 Antic,396,82.16176703538015,16.053294069875033,0.5986756399604932,True,2023 Kang,396,89.90194346504728,14.158801638675556,0.776708659561608,True,East Asian
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,1975,15.608868881138513,1.4034597481370687e-12,3.2061577623812855e-28,2001 Reinhard,396,85.86118692143238,28.30217778547235,1.4320460365481228e-08,False,2016 Zhang,396,86.91366487335722,16.44399180530271,0.19467541307751215,True,2017 Zhang,396,80.05107930454831,18.190362163805116,0.9831655988963947,True,2018 Antic,396,81.53785540591703,16.52568720249231,0.8205444454788328,True,2023 Kang,396,89.38939646989614,14.906987518170554,0.03685953664842254,False,Indian
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,1975,23.969302103149747,2.185682617221473e-19,9.000468157432013e-16,2001 Reinhard,396,89.03954439719689,26.129669337440465,1.1753510398575833e-12,False,2016 Zhang,396,86.55138089988799,15.722604819342134,9.214544275696249e-08,False,2017 Zhang,396,78.47689730348323,17.3215133883711,2.4315309046228438e-05,False,2018 Antic,396,81.36472327270162,15.936411469453631,3.3735966143604155e-06,False,2023 Kang,396,87.84276884886457,14.456206549940534,9.889706751226898e-05,False,Latino_Hispanic
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,1975,18.092653613649357,1.3218164480543836e-14,1.3384366787883822e-30,2001 Reinhard,396,83.33906113872276,30.515167068439847,6.895752136516561e-13,False,2016 Zhang,396,85.92532666442018,16.021375825423902,2.715496707168594e-07,False,2017 Zhang,396,77.48135523454202,17.821564777252984,0.3977865392539088,True,2018 Antic,396,79.00685835218923,16.23287844686395,0.0066389636496271805,False,2023 Kang,396,87.18682919482609,13.933448012854772,0.11867997267250768,True,Middle Eastern
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,1975,17.12079331694867,8.19902464589182e-14,3.2473396325759337e-21,2001 Reinhard,396,92.08520769087451,29.471335512283158,1.4447202815934094e-13,False,2016 Zhang,396,90.68081997684448,16.25388628041265,0.7873099933245736,True,2017 Zhang,396,83.25556887753919,18.558974836826597,0.22029617880149366,True,2018 Antic,396,84.76263498494242,17.45332596532462,0.024889361670101157,False,2023 Kang,396,91.72963813897928,15.0979460002036,0.05477842518461137,True,Southeast Asian
