Factor,Groups,df_between,df_within,F,p-value,Levene_p,GroupName_1,N_1,Mean_1,Std_1,Shapiro_p_1,Normal_1,GroupName_2,N_2,Mean_2,Std_2,Shapiro_p_2,Normal_2,GroupName_3,N_3,Mean_3,Std_3,Shapiro_p_3,Normal_3,GroupName_4,N_4,Mean_4,Std_4,Shapiro_p_4,Normal_4,GroupName_5,N_5,Mean_5,Std_5,Shapiro_p_5,Normal_5,Subset
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,11875,9.635582288935694,8.907037343798472e-08,0.07510498206194546,2001 Reinhard,2376,-0.6426588045876336,0.3300547660669128,1.80905351725341e-36,False,2016 Zhang,2376,-0.6767807632350994,0.3485345287404496,7.719428492226622e-38,False,2017 Zhang,2376,-0.6345281970264385,0.3314562060902097,5.620678031973682e-38,False,2018 Antic,2376,-0.6251648390022426,0.3266540285548001,1.347713001689341e-36,False,2023 Kang,2376,-0.6639228914192866,0.3337277827954213,2.492560908785793e-35,False,Non-White
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,1975,1.6142155564642453,0.16799428792259924,0.8835748857744549,2001 Reinhard,396,-0.6544981562106804,0.3240495466576345,1.3013999037560883e-15,False,2016 Zhang,396,-0.6980689563860498,0.34188137598062585,1.4196083165770924e-16,False,2017 Zhang,396,-0.6547166497512448,0.32571356024385556,2.1055897304191705e-16,False,2018 Antic,396,-0.6506535917031931,0.32157662639452345,2.4673756445380173e-15,False,2023 Kang,396,-0.681565259132626,0.323353967534703,1.837157430599238e-15,False,Black
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,1975,1.9790240126257348,0.09514846051483408,0.8740787168843227,2001 Reinhard,396,-0.6562205601455362,0.3308582977208797,1.0773979870884155e-16,False,2016 Zhang,396,-0.6882980947924844,0.3483201409761222,1.845427910943973e-17,False,2017 Zhang,396,-0.6410993632453028,0.3313246908926391,1.5853402947689e-17,False,2018 Antic,396,-0.6293972438516453,0.323979919806268,7.313897036369554e-17,False,2023 Kang,396,-0.6721771104264807,0.33289198732726977,8.315541574964901e-16,False,East Asian
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,1975,1.4291493693561026,0.2217767355323776,0.8627144756790939,2001 Reinhard,396,-0.6350299766971589,0.3392659218677243,5.327205700343689e-15,False,2016 Zhang,396,-0.6707990618723662,0.35993646116042644,1.2751893325907398e-16,False,2017 Zhang,396,-0.6310966308306208,0.34207787565715797,1.152539749261802e-16,False,2018 Antic,396,-0.6221069898080043,0.337311314786751,7.651080111952866e-16,False,2023 Kang,396,-0.6603521290283728,0.34268941887794024,2.4183797462708325e-15,False,Indian
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,1975,1.2645209337134309,0.2817839022159051,0.7597037795166951,2001 Reinhard,396,-0.6318034464359634,0.32991753609643004,7.69117340957398e-15,False,2016 Zhang,396,-0.6567058293125357,0.35144913842815045,2.7023583529549407e-15,False,2017 Zhang,396,-0.6208401371121808,0.3347116542148984,1.0340340425388394e-15,False,2018 Antic,396,-0.6101652334460099,0.3301750353510717,5.275220694742856e-15,False,2023 Kang,396,-0.6477476487587667,0.33744115513067646,7.786155751209347e-14,False,Latino_Hispanic
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,1975,1.7214869762698388,0.14250789030715555,0.7608163753523074,2001 Reinhard,396,-0.6494045052077677,0.3288499535843338,1.314170057559336e-15,False,2016 Zhang,396,-0.6786642165994506,0.34697126271358564,3.094071497849491e-16,False,2017 Zhang,396,-0.6350670432192133,0.32835027837454195,3.4557535653124024e-16,False,2018 Antic,396,-0.6237991859294436,0.3261238868609715,2.1024537266965225e-15,False,2023 Kang,396,-0.6643141967460814,0.3376305941725681,2.1413856619477487e-14,False,Middle Eastern
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,1975,1.8975479063217782,0.10825531235540485,0.7714106770466105,2001 Reinhard,396,-0.6289961828286947,0.32817238625599104,1.7744677308632387e-14,False,2016 Zhang,396,-0.6681484204477094,0.3429584510055506,6.295201718701041e-15,False,2017 Zhang,396,-0.6243493580000682,0.32723971201207713,6.342501868404175e-15,False,2018 Antic,396,-0.6148667892751595,0.3209822639640015,2.316164607998573e-14,False,2023 Kang,396,-0.6573810044233922,0.3290666474567814,9.826447753677562e-14,False,Southeast Asian
