Factor,Groups,df_between,df_within,F,p-value,Levene_p,GroupName_1,N_1,Mean_1,Std_1,Shapiro_p_1,Normal_1,GroupName_2,N_2,Mean_2,Std_2,Shapiro_p_2,Normal_2,GroupName_3,N_3,Mean_3,Std_3,Shapiro_p_3,Normal_3,GroupName_4,N_4,Mean_4,Std_4,Shapiro_p_4,Normal_4,GroupName_5,N_5,Mean_5,Std_5,Shapiro_p_5,Normal_5,Subset
Model,"2016 Zhang,2018 Antic,2017 Zhang,2023 Kang,2001 Reinhard",4,11875,104.23772939729427,2.0879683229945377e-87,0.00021481342290429286,2016 Zhang,2376,0.1822329875354589,0.06122894133070949,2.791155113834894e-26,False,2018 Antic,2376,0.16417466197006075,0.0688736260949386,8.086326108465288e-32,False,2017 Zhang,2376,0.15905790517627186,0.06905743860708707,6.661980350241819e-32,False,2023 Kang,2376,0.17179216390243585,0.06551133126202963,1.5789480496561263e-26,False,2001 Reinhard,2376,0.19396292560911516,0.0705357303189936,2.2680966071322837e-22,False,Non-White
Model,"2016 Zhang,2018 Antic,2017 Zhang,2023 Kang,2001 Reinhard",4,1975,20.16259879803289,2.7188332123341073e-16,0.23378201012121133,2016 Zhang,396,0.1834238108548552,0.05583011961561169,0.0001295067156003631,False,2018 Antic,396,0.1647953890320478,0.06549195371549978,4.763480068963735e-11,False,2017 Zhang,396,0.16100695451740363,0.06324218941144528,7.266195265735428e-12,False,2023 Kang,396,0.17419053091093747,0.06443896938372776,6.60451294975564e-09,False,2001 Reinhard,396,0.19603097735597833,0.06576657971966357,3.8072155096946208e-06,False,East Asian
Model,"2016 Zhang,2018 Antic,2017 Zhang,2023 Kang,2001 Reinhard",4,1975,13.190965512267578,1.316093645774917e-10,0.8115141046762631,2016 Zhang,396,0.1883995161589348,0.06838503917407071,1.4642167190515287e-12,False,2018 Antic,396,0.17036163421216036,0.06973836925361121,1.7928905699276772e-12,False,2017 Zhang,396,0.16564563021176693,0.07308242692053406,7.545015466393552e-14,False,2023 Kang,396,0.1815985980810541,0.06879308911646599,2.6534786192648e-11,False,2001 Reinhard,396,0.19701674939657243,0.07173445260298782,2.003912875654131e-05,False,Indian
Model,"2016 Zhang,2018 Antic,2017 Zhang,2023 Kang,2001 Reinhard",4,1975,15.721406644707466,1.1360159306402688e-12,0.16664065839337372,2016 Zhang,396,0.18690383413599598,0.06203464150930378,2.915991334998861e-07,False,2018 Antic,396,0.16899554115353208,0.0741798258572493,4.4068685885662846e-14,False,2017 Zhang,396,0.16613918088489407,0.07365212374262846,1.069194997033107e-11,False,2023 Kang,396,0.1768416462917671,0.06847507672613842,2.312486395523222e-10,False,2001 Reinhard,396,0.20035593678172023,0.07249291586588702,1.208410111222495e-07,False,Southeast Asian
Model,"2016 Zhang,2018 Antic,2017 Zhang,2023 Kang,2001 Reinhard",4,1975,12.050271074344,1.118364714861657e-09,0.13572217373933274,2016 Zhang,396,0.17493644182692575,0.059558566703687435,1.740433862703151e-10,False,2018 Antic,396,0.15705561717840455,0.06924031440923087,8.435972343557349e-15,False,2017 Zhang,396,0.15098044715558334,0.06879579724851358,9.070528865689694e-14,False,2023 Kang,396,0.16576281220021874,0.06636993960190868,4.630876341764832e-12,False,2001 Reinhard,396,0.1790623264686005,0.07297615841962092,2.6295470259346146e-09,False,Middle Eastern
Model,"2016 Zhang,2018 Antic,2017 Zhang,2023 Kang,2001 Reinhard",4,1975,36.04819704846482,4.1011046505530785e-29,0.5696589657915869,2016 Zhang,396,0.17567062929197394,0.05961767283135671,2.0375227157463345e-10,False,2018 Antic,396,0.1577908193899525,0.06641945252262112,1.4243265551085912e-11,False,2017 Zhang,396,0.14903416229656546,0.06630198231465524,7.386381835865394e-13,False,2023 Kang,396,0.1597204471590242,0.06174837575758129,3.1646222510247316e-08,False,2001 Reinhard,396,0.19826249400192855,0.06723237562327654,7.252044016678484e-10,False,Latino_Hispanic
Model,"2016 Zhang,2018 Antic,2017 Zhang,2023 Kang,2001 Reinhard",4,1975,15.583637748472299,1.4715842055725109e-12,0.28513165375628907,2016 Zhang,396,0.1840636929440679,0.06030529596001501,3.946857765775064e-11,False,2018 Antic,396,0.1660489708542673,0.06710593713202925,6.292710564692033e-12,False,2017 Zhang,396,0.16154105599141783,0.06715630907450267,3.126151812882236e-13,False,2023 Kang,396,0.17263894877161343,0.060845695653681545,3.2335394628613476e-08,False,2001 Reinhard,396,0.1930490696498909,0.071036137372793,4.842155317059058e-10,False,Black
