Factor,Groups,df_between,df_within,F,p-value,Levene_p,GroupName_1,N_1,Mean_1,Std_1,Shapiro_p_1,Normal_1,GroupName_2,N_2,Mean_2,Std_2,Shapiro_p_2,Normal_2,GroupName_3,N_3,Mean_3,Std_3,Shapiro_p_3,Normal_3,GroupName_4,N_4,Mean_4,Std_4,Shapiro_p_4,Normal_4,GroupName_5,N_5,Mean_5,Std_5,Shapiro_p_5,Normal_5,Subset
Model,"2016 Zhang,2018 Antic,2017 Zhang,2023 Kang,2001 Reinhard",4,11875,27.007150295783976,2.424152484513977e-22,0.0012351722895811356,2016 Zhang,2376,0.341679911445889,0.11159764605391004,3.023133015599683e-17,False,2018 Antic,2376,0.3578100157650783,0.12100823474814688,3.976945819883042e-20,False,2017 Zhang,2376,0.3614654965096652,0.11862139041096126,2.8284906093866935e-17,False,2023 Kang,2376,0.3604100495169209,0.12179533558894307,6.12926710352721e-20,False,2001 Reinhard,2376,0.33349427230881923,0.11888290411341101,4.0548787789622723e-16,False,Non-White
Model,"2016 Zhang,2018 Antic,2017 Zhang,2023 Kang,2001 Reinhard",4,1975,5.65225831690691,0.00015992787252199392,0.6327018332404508,2016 Zhang,396,0.3324954630712969,0.11156272938101937,9.059284221481516e-07,False,2018 Antic,396,0.348461729765992,0.120139086246496,3.4741410102281854e-08,False,2017 Zhang,396,0.35163131666680175,0.11812390556040225,1.8295661241013288e-06,False,2023 Kang,396,0.35209543643650987,0.12201171599883971,3.9537887091221215e-07,False,2001 Reinhard,396,0.32026911370757255,0.11750390549900788,4.231834555392396e-06,False,East Asian
Model,"2016 Zhang,2018 Antic,2017 Zhang,2023 Kang,2001 Reinhard",4,1975,3.627746801142094,0.005949065199713905,0.5343158851929819,2016 Zhang,396,0.33757133014274365,0.11244215705979914,4.112372016605446e-06,False,2018 Antic,396,0.35315692003327187,0.12291847992045887,2.611553383185954e-07,False,2017 Zhang,396,0.35642303086139937,0.12010138893647393,1.2888291135960962e-05,False,2023 Kang,396,0.35500781554164307,0.1228995505847694,1.650672020470586e-07,False,2001 Reinhard,396,0.3312539361755956,0.12103468696859056,8.994210593242877e-06,False,Indian
Model,"2016 Zhang,2018 Antic,2017 Zhang,2023 Kang,2001 Reinhard",4,1975,4.808768599081955,0.0007338005081529912,0.35819294945922686,2016 Zhang,396,0.3469729754095427,0.10489343179342778,0.0005972783105204695,False,2018 Antic,396,0.36297741976350245,0.1144290618439036,3.8379131843716716e-05,False,2017 Zhang,396,0.3666904107902688,0.1123114599274181,0.0005520963631854072,False,2023 Kang,396,0.36687843315303326,0.11608772443890643,6.2190951916524546e-06,False,2001 Reinhard,396,0.34009252196986867,0.11374420535658632,0.0005364700241903391,False,Southeast Asian
Model,"2016 Zhang,2018 Antic,2017 Zhang,2023 Kang,2001 Reinhard",4,1975,4.4869794249061945,0.0013049549457674863,0.6244190229577647,2016 Zhang,396,0.33926132782315366,0.11712060171040876,8.260932762916714e-06,False,2018 Antic,396,0.3554782334790386,0.12677040320475141,8.1805401805696e-07,False,2017 Zhang,396,0.3588790154705445,0.12304974496605982,5.291584197374365e-06,False,2023 Kang,396,0.3590528131321524,0.1268771498025269,5.861206449159137e-07,False,2001 Reinhard,396,0.33011816169201125,0.1233070756595242,5.11757552983875e-05,False,Middle Eastern
Model,"2016 Zhang,2018 Antic,2017 Zhang,2023 Kang,2001 Reinhard",4,1975,4.482463110972442,0.0013155078387945866,0.5943721432978075,2016 Zhang,396,0.35328438740712825,0.11537302735260366,2.091644721420845e-05,False,2018 Antic,396,0.36991514988017804,0.12473282801140165,2.783054555110668e-06,False,2017 Zhang,396,0.37301393878655603,0.12271453032725825,1.7519791662626654e-05,False,2023 Kang,396,0.3717835302455257,0.12550993213313244,1.7672343417507117e-06,False,2001 Reinhard,396,0.3441297295832574,0.12148183546349627,0.00034279250789783964,False,Latino_Hispanic
Model,"2016 Zhang,2018 Antic,2017 Zhang,2023 Kang,2001 Reinhard",4,1975,4.302334705212824,0.0018127383997564182,0.4915511829255026,2016 Zhang,396,0.3404939848214689,0.10719007485850417,7.484131372618449e-06,False,2018 Antic,396,0.3568706416684871,0.11614046150200563,2.178324336251714e-07,False,2017 Zhang,396,0.36215526648242063,0.11455154280055259,8.753074567622126e-06,False,2023 Kang,396,0.3576422685926611,0.11659589058969096,4.5654749842215405e-07,False,2001 Reinhard,396,0.3351021707246099,0.1151935172800298,1.4176007279628483e-05,False,Black
