Factor,Groups,df_between,df_within,F,p-value,Levene_p,GroupName_1,N_1,Mean_1,Std_1,Shapiro_p_1,Normal_1,GroupName_2,N_2,Mean_2,Std_2,Shapiro_p_2,Normal_2,GroupName_3,N_3,Mean_3,Std_3,Shapiro_p_3,Normal_3,GroupName_4,N_4,Mean_4,Std_4,Shapiro_p_4,Normal_4,GroupName_5,N_5,Mean_5,Std_5,Shapiro_p_5,Normal_5,Subset
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,11875,49.909352235043386,1.0139675502999239e-41,5.567951913550527e-79,2001 Reinhard,2376,1.779057048591989,0.8737994992642284,1.2040083758926139e-20,False,2016 Zhang,2376,1.455372164773783,0.676310041417326,1.650133677017043e-39,False,2017 Zhang,2376,1.577935217631987,0.9468245232404434,5.813224194728441e-38,False,2018 Antic,2376,1.6430865345483172,1.0921042767473899,6.1506424165291395e-34,False,2023 Kang,2376,1.7355553020506795,0.8007897417357741,1.445241239449287e-32,False,Non-White
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,1975,5.759977175614833,0.00013148457745918438,5.84953432636903e-16,2001 Reinhard,396,1.7054624169561636,0.8449665567319893,3.8780488309943314e-07,False,2016 Zhang,396,1.499063590259263,0.6482671067433661,2.142223301267934e-17,False,2017 Zhang,396,1.6147501500266972,0.9168306265607513,3.2527651450043698e-15,False,2018 Antic,396,1.747654236312203,1.0859886358747552,2.434080683109018e-14,False,2023 Kang,396,1.7362187005052663,0.7645904746658009,1.106242663554675e-12,False,Black
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,1975,12.723510252377872,3.1640503046951814e-10,3.533637723785164e-12,2001 Reinhard,396,1.8296875861153534,0.8443336194608196,1.3080577138252723e-06,False,2016 Zhang,396,1.4421574015245595,0.6578277102810783,1.087774502972455e-16,False,2017 Zhang,396,1.5367519482217653,0.9003386308961053,4.493958516736488e-17,False,2018 Antic,396,1.6343121213433944,1.0892580777902714,4.464346195562485e-15,False,2023 Kang,396,1.7412509526869264,0.7699069029833142,5.45120046218141e-12,False,East Asian
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,1975,9.572665849968876,1.151106489168935e-07,1.0568838204527255e-12,2001 Reinhard,396,1.7341636577809247,0.8417873692987906,3.020116087398979e-10,False,2016 Zhang,396,1.4564338708390492,0.6643925036167307,5.070343995714737e-15,False,2017 Zhang,396,1.6317227371413299,0.9645793162135913,2.6525744974923145e-15,False,2018 Antic,396,1.6337737646976938,1.0426324241274398,4.319300329421539e-11,False,2023 Kang,396,1.816900407274564,0.7759214269793442,3.7709562941173256e-10,False,Indian
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,1975,14.284037010151444,1.6903710379823085e-11,5.857240550576473e-13,2001 Reinhard,396,1.8446634957011827,0.8502916263587567,2.6141401271955306e-05,False,2016 Zhang,396,1.406461007121687,0.6581564668850565,3.670856578573305e-19,False,2017 Zhang,396,1.5016708446271492,0.9113131634671381,5.014304255314241e-17,False,2018 Antic,396,1.598811899293026,1.0603536897045671,1.0478171880381993e-14,False,2023 Kang,396,1.6523278944119058,0.8314631964072113,6.288480113485675e-18,False,Latino_Hispanic
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,1975,5.533508211423286,0.0001984046475137901,9.414471392312552e-11,2001 Reinhard,396,1.699913529225277,0.89352857061846,4.5582764865865285e-06,False,2016 Zhang,396,1.4162268164482983,0.7233563289846467,6.5726334419378e-20,False,2017 Zhang,396,1.5030714494712425,0.9410667405178357,3.242231923627267e-17,False,2018 Antic,396,1.5501695444544006,1.1230538524331442,7.447863864652359e-16,False,2023 Kang,396,1.6093915463848547,0.8003004333194649,5.7761283716418804e-15,False,Middle Eastern
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,1975,9.322517791173537,1.8348717239682418e-07,1.2806426587642004e-13,2001 Reinhard,396,1.8604516057730323,0.952207199637268,1.9274980375548166e-07,False,2016 Zhang,396,1.5118903024498411,0.7000823080074446,1.3429687566835684e-14,False,2017 Zhang,396,1.6796441763037382,1.0318566153715842,1.9413870500483165e-15,False,2018 Antic,396,1.6937976411891857,1.1438470807511816,7.096944241771352e-13,False,2023 Kang,396,1.8572423110405605,0.8367003770509283,1.0144985832359174e-11,False,Southeast Asian
