Factor,Groups,df_between,df_within,F,p-value,Levene_p,GroupName_1,N_1,Mean_1,Std_1,Shapiro_p_1,Normal_1,GroupName_2,N_2,Mean_2,Std_2,Shapiro_p_2,Normal_2,GroupName_3,N_3,Mean_3,Std_3,Shapiro_p_3,Normal_3,GroupName_4,N_4,Mean_4,Std_4,Shapiro_p_4,Normal_4,GroupName_5,N_5,Mean_5,Std_5,Shapiro_p_5,Normal_5,Subset
Model,"2016 Zhang,2018 Antic,2017 Zhang,2023 Kang,2001 Reinhard",4,11875,101.30542766353597,5.882354855007892e-85,0.12644617109881306,2016 Zhang,2376,0.978412060625224,0.009395379650372897,9.145233000326424e-29,False,2018 Antic,2376,0.9814449047500436,0.0100757689723552,1.3375912073703968e-36,False,2017 Zhang,2376,0.9829628021277562,0.009326514405575019,9.414591440566947e-36,False,2023 Kang,2376,0.9783434627784623,0.009655018935692527,7.322812747381224e-29,False,2001 Reinhard,2376,0.9803090416873345,0.0096451026676577,1.269556818229281e-21,False,Non-White
Model,"2016 Zhang,2018 Antic,2017 Zhang,2023 Kang,2001 Reinhard",4,1975,20.305881862770786,2.0782993667125397e-16,0.6798662673883278,2016 Zhang,396,0.9778758592978872,0.009207748963982725,1.3954517793291038e-06,False,2018 Antic,396,0.9814402351174691,0.00987207475302743,5.378874628441391e-16,False,2017 Zhang,396,0.9826606746875879,0.00932700107058172,4.4545894801815446e-17,False,2023 Kang,396,0.9779094483214196,0.009540196461273185,3.9946961163872114e-10,False,2001 Reinhard,396,0.9800310997348843,0.008910915552266281,0.0001044019277801093,False,East Asian
Model,"2016 Zhang,2018 Antic,2017 Zhang,2023 Kang,2001 Reinhard",4,1975,17.140137409919614,7.90648764660151e-14,0.9099454981159525,2016 Zhang,396,0.977665439248085,0.010591558962761953,3.666663190119082e-15,False,2018 Antic,396,0.9807676700028506,0.010475105587158834,2.5040083966825055e-15,False,2017 Zhang,396,0.9821217224152401,0.009974740948986522,1.5694427277265627e-14,False,2023 Kang,396,0.977336968887936,0.009766262541704634,4.770850996336564e-09,False,2001 Reinhard,396,0.9806336351115295,0.00956470361088343,3.28653448679872e-06,False,Indian
Model,"2016 Zhang,2018 Antic,2017 Zhang,2023 Kang,2001 Reinhard",4,1975,18.37997959562281,7.707417300879186e-15,0.07189788349553874,2016 Zhang,396,0.9778756658838252,0.009027360763313983,6.389398905082861e-10,False,2018 Antic,396,0.9812060270947639,0.010146322826406266,4.1350030439871395e-15,False,2017 Zhang,396,0.9823058879736698,0.00887254264282168,3.6495239011697156e-11,False,2023 Kang,396,0.9777469585339228,0.009207381427630675,2.8312861365811734e-09,False,2001 Reinhard,396,0.9787263338915025,0.01056969390072698,3.497389460194278e-06,False,Southeast Asian
Model,"2016 Zhang,2018 Antic,2017 Zhang,2023 Kang,2001 Reinhard",4,1975,16.435971155693927,2.967625243761068e-13,0.5304248486022494,2016 Zhang,396,0.9787135786480374,0.009703166202606691,1.5973426675691464e-12,False,2018 Antic,396,0.9820014990941442,0.0105527328148395,2.061465675387776e-18,False,2017 Zhang,396,0.9834529789108218,0.009673774484316519,9.050512352679165e-18,False,2023 Kang,396,0.9789033908434589,0.010688965598309464,2.4721682655376186e-15,False,2001 Reinhard,396,0.9815908343804003,0.009885947210241304,1.3173768396794645e-08,False,Middle Eastern
Model,"2016 Zhang,2018 Antic,2017 Zhang,2023 Kang,2001 Reinhard",4,1975,22.177028533302753,6.241769418194208e-18,0.528235270439354,2016 Zhang,396,0.9800596944611482,0.008475455987014253,5.137820546661616e-10,False,2018 Antic,396,0.9826697774908759,0.008955641431798314,4.888562335388028e-14,False,2017 Zhang,396,0.984706943835875,0.008491101685870864,3.803999162483933e-15,False,2023 Kang,396,0.9800503100409652,0.009142367692005035,4.768598990033272e-12,False,2001 Reinhard,396,0.9802955914326389,0.00880976565991769,4.595938123172832e-08,False,Latino_Hispanic
Model,"2016 Zhang,2018 Antic,2017 Zhang,2023 Kang,2001 Reinhard",4,1975,14.639970785538809,8.662589212818433e-12,0.4833006631550226,2016 Zhang,396,0.9782821262123609,0.009074654824922404,1.5788836087521773e-09,False,2018 Antic,396,0.9805842197001583,0.010278140322282754,6.150727782993237e-13,False,2017 Zhang,396,0.9825286049433429,0.009348806522458132,1.9380282321737909e-13,False,2023 Kang,396,0.9781137000430714,0.009308021237067136,4.7057162674055755e-11,False,2001 Reinhard,396,0.9805767555730511,0.00984792937040689,7.19857068768976e-11,False,Black
