,NIQE,PSNR,MUSIQ
NIQE,1.0,0.012873872878138858,-0.830855411358228
PSNR,0.012873872878138858,1.0,-0.01177869945664397
MUSIQ,-0.830855411358228,-0.01177869945664397,1.0
