,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"beta[0, 0]",5.06,0.352,4.348,5.702,0.018,0.013,387.0,623.0,1.01
"beta[0, 1]",21.85,0.362,21.14,22.502,0.015,0.01,608.0,806.0,1.0
"beta[0, 2]",39.707,0.414,38.893,40.447,0.011,0.008,1333.0,1654.0,1.0
"beta[1, 0]",0.6,0.357,-0.118,1.253,0.019,0.015,368.0,555.0,1.01
"beta[1, 1]",2.873,0.381,2.165,3.584,0.016,0.012,541.0,669.0,1.0
"beta[1, 2]",6.509,0.472,5.655,7.411,0.012,0.009,1440.0,1609.0,1.0
"beta[2, 0]",0.895,0.356,0.273,1.63,0.02,0.015,339.0,484.0,1.01
"beta[2, 1]",2.907,0.401,2.147,3.626,0.016,0.011,661.0,993.0,1.0
"beta[2, 2]",4.44,0.525,3.511,5.437,0.013,0.009,1632.0,1747.0,1.0
"beta[3, 0]",0.644,0.354,-0.01,1.333,0.018,0.014,379.0,583.0,1.01
"beta[3, 1]",3.237,0.391,2.55,4.001,0.015,0.01,706.0,850.0,1.0
"beta[3, 2]",5.906,0.514,4.95,6.886,0.012,0.009,1734.0,1668.0,1.0
"beta[4, 0]",0.592,0.35,-0.025,1.324,0.017,0.012,411.0,612.0,1.01
"beta[4, 1]",2.708,0.401,1.928,3.433,0.015,0.011,716.0,1158.0,1.01
"beta[4, 2]",7.002,0.552,5.992,8.009,0.014,0.01,1544.0,1640.0,1.0
"beta[5, 0]",0.819,0.351,0.142,1.488,0.018,0.012,399.0,668.0,1.01
"beta[5, 1]",4.154,0.399,3.355,4.873,0.015,0.011,684.0,1019.0,1.0
"beta[5, 2]",5.059,0.539,4.043,6.04,0.014,0.01,1578.0,1569.0,1.0
"beta[6, 0]",0.752,0.355,0.108,1.447,0.018,0.013,377.0,604.0,1.01
"beta[6, 1]",2.872,0.395,2.133,3.59,0.015,0.011,700.0,1201.0,1.0
"beta[6, 2]",6.163,0.546,5.054,7.163,0.013,0.009,1753.0,1663.0,1.0
"beta[7, 0]",0.674,0.359,0.014,1.372,0.02,0.015,341.0,714.0,1.01
"beta[7, 1]",3.023,0.392,2.314,3.759,0.014,0.01,738.0,1166.0,1.0
"beta[7, 2]",4.673,0.535,3.616,5.592,0.014,0.01,1430.0,1321.0,1.0
"beta[8, 0]",0.121,0.015,0.094,0.148,0.001,0.0,751.0,1065.0,1.0
"beta[8, 1]",-2.186,0.216,-2.603,-1.8,0.008,0.005,778.0,1188.0,1.0
"beta[8, 2]",2.074,0.451,1.256,2.924,0.01,0.007,1999.0,1198.0,1.0
"beta[9, 0]",0.141,0.014,0.114,0.168,0.001,0.0,737.0,1121.0,1.0
"beta[9, 1]",-0.725,0.209,-1.1,-0.334,0.008,0.005,754.0,1581.0,1.0
"beta[9, 2]",4.969,0.446,4.135,5.788,0.011,0.008,1533.0,1479.0,1.0
"beta[10, 0]",0.161,0.014,0.135,0.188,0.001,0.0,663.0,835.0,1.0
"beta[10, 1]",-1.013,0.215,-1.401,-0.607,0.007,0.005,905.0,1135.0,1.0
"beta[10, 2]",4.215,0.451,3.421,5.066,0.01,0.007,1937.0,1450.0,1.0
"beta[11, 0]",-0.014,0.015,-0.04,0.015,0.001,0.0,623.0,942.0,1.0
"beta[11, 1]",-2.111,0.21,-2.504,-1.716,0.007,0.005,925.0,1291.0,1.0
"beta[11, 2]",3.668,0.451,2.744,4.42,0.011,0.008,1812.0,1697.0,1.0
"beta[12, 0]",-0.027,0.022,-0.064,0.015,0.001,0.0,1020.0,1562.0,1.0
"beta[12, 1]",0.067,0.329,-0.553,0.68,0.01,0.007,1041.0,1432.0,1.0
"beta[12, 2]",-0.053,0.684,-1.271,1.257,0.014,0.016,2293.0,1853.0,1.0
"beta[13, 0]",-0.028,0.021,-0.065,0.014,0.001,0.0,971.0,1383.0,1.0
"beta[13, 1]",-0.177,0.317,-0.741,0.424,0.01,0.007,1081.0,1431.0,1.0
"beta[13, 2]",0.428,0.693,-0.981,1.679,0.013,0.013,2692.0,1577.0,1.0
"beta[14, 0]",-0.056,0.021,-0.096,-0.017,0.001,0.0,1027.0,1058.0,1.0
"beta[14, 1]",0.652,0.333,0.07,1.33,0.009,0.007,1259.0,1243.0,1.0
"beta[14, 2]",0.41,0.717,-0.915,1.718,0.014,0.015,2682.0,1419.0,1.0
"beta[15, 0]",-0.019,0.021,-0.06,0.018,0.001,0.0,1093.0,1382.0,1.0
"beta[15, 1]",-0.729,0.326,-1.328,-0.121,0.01,0.007,1104.0,1346.0,1.0
"beta[15, 2]",0.255,0.708,-1.18,1.445,0.013,0.016,2817.0,1459.0,1.0
"beta[16, 0]",-0.06,0.022,-0.1,-0.019,0.001,0.0,1050.0,1267.0,1.0
"beta[16, 1]",-0.102,0.338,-0.717,0.499,0.01,0.007,1211.0,1628.0,1.0
"beta[16, 2]",0.217,0.708,-1.091,1.493,0.014,0.014,2655.0,1621.0,1.0
"beta[17, 0]",-0.021,0.021,-0.063,0.018,0.001,0.0,1011.0,1435.0,1.0
"beta[17, 1]",0.283,0.326,-0.306,0.891,0.009,0.007,1196.0,1231.0,1.0
"beta[17, 2]",0.277,0.717,-1.049,1.618,0.014,0.015,2570.0,1467.0,1.0
"beta[18, 0]",-0.024,0.021,-0.061,0.017,0.001,0.0,1245.0,1891.0,1.0
"beta[18, 1]",0.014,0.324,-0.585,0.637,0.009,0.006,1270.0,1400.0,1.0
"beta[18, 2]",0.291,0.682,-1.032,1.499,0.013,0.013,2836.0,1730.0,1.0
"beta[19, 0]",-0.016,0.02,-0.053,0.022,0.001,0.0,877.0,1407.0,1.0
"beta[19, 1]",-0.231,0.314,-0.785,0.378,0.008,0.006,1400.0,1454.0,1.0
"beta[19, 2]",0.672,0.695,-0.652,1.93,0.013,0.011,2730.0,1726.0,1.0
"beta[20, 0]",-0.048,0.02,-0.086,-0.011,0.001,0.0,1037.0,1628.0,1.0
"beta[20, 1]",0.808,0.329,0.233,1.417,0.008,0.006,1532.0,1680.0,1.0
"beta[20, 2]",0.956,0.718,-0.389,2.272,0.015,0.012,2251.0,1719.0,1.0
"beta[21, 0]",-0.014,0.021,-0.054,0.024,0.001,0.0,879.0,1329.0,1.0
"beta[21, 1]",-0.632,0.328,-1.201,0.011,0.009,0.006,1402.0,1795.0,1.0
"beta[21, 2]",0.596,0.704,-0.798,1.806,0.014,0.014,2636.0,1376.0,1.0
"beta[22, 0]",-0.053,0.021,-0.093,-0.013,0.001,0.0,1067.0,1212.0,1.0
"beta[22, 1]",-0.224,0.321,-0.834,0.342,0.009,0.006,1280.0,1456.0,1.01
"beta[22, 2]",0.601,0.705,-0.727,1.909,0.015,0.012,2358.0,1807.0,1.0
"beta[23, 0]",-0.026,0.021,-0.063,0.014,0.001,0.0,1075.0,932.0,1.0
"beta[23, 1]",0.193,0.32,-0.368,0.802,0.009,0.006,1360.0,1600.0,1.0
"beta[23, 2]",0.474,0.687,-0.706,1.816,0.014,0.013,2328.0,1565.0,1.0
"beta[24, 0]",-0.013,0.021,-0.054,0.025,0.001,0.0,1063.0,1373.0,1.0
"beta[24, 1]",0.078,0.318,-0.543,0.623,0.009,0.006,1215.0,1697.0,1.0
"beta[24, 2]",0.144,0.696,-1.185,1.401,0.013,0.014,2782.0,1667.0,1.0
"beta[25, 0]",-0.009,0.022,-0.047,0.034,0.001,0.001,901.0,1348.0,1.0
"beta[25, 1]",-0.199,0.333,-0.829,0.404,0.01,0.007,1224.0,1574.0,1.0
"beta[25, 2]",0.65,0.708,-0.626,1.978,0.014,0.012,2654.0,1640.0,1.0
"beta[26, 0]",-0.024,0.021,-0.065,0.013,0.001,0.001,781.0,1061.0,1.0
"beta[26, 1]",0.548,0.329,-0.067,1.161,0.009,0.006,1330.0,1529.0,1.0
"beta[26, 2]",0.761,0.715,-0.557,2.109,0.014,0.012,2662.0,1430.0,1.0
"beta[27, 0]",-0.005,0.021,-0.045,0.033,0.001,0.0,921.0,1252.0,1.0
"beta[27, 1]",-0.619,0.321,-1.239,-0.033,0.009,0.007,1299.0,1443.0,1.0
"beta[27, 2]",0.398,0.7,-0.925,1.678,0.016,0.014,2027.0,1358.0,1.0
"beta[28, 0]",-0.044,0.022,-0.085,-0.002,0.001,0.0,1004.0,1321.0,1.0
"beta[28, 1]",-0.156,0.329,-0.779,0.462,0.009,0.007,1242.0,1339.0,1.0
"beta[28, 2]",0.548,0.737,-0.873,1.889,0.015,0.014,2362.0,1324.0,1.0
"beta[29, 0]",-0.023,0.021,-0.061,0.016,0.001,0.001,825.0,1374.0,1.0
"beta[29, 1]",0.129,0.32,-0.454,0.736,0.009,0.006,1362.0,1416.0,1.0
"beta[29, 2]",0.471,0.71,-0.807,1.851,0.016,0.014,2091.0,1542.0,1.0
"beta[30, 0]",-0.023,0.021,-0.061,0.019,0.001,0.0,1112.0,1469.0,1.0
"beta[30, 1]",-0.076,0.32,-0.626,0.564,0.009,0.006,1327.0,1267.0,1.0
"beta[30, 2]",0.45,0.694,-0.914,1.663,0.014,0.013,2312.0,1627.0,1.0
"beta[31, 0]",0.001,0.021,-0.038,0.04,0.001,0.001,861.0,1295.0,1.0
"beta[31, 1]",-0.499,0.321,-1.134,0.077,0.009,0.006,1320.0,1687.0,1.0
"beta[31, 2]",0.313,0.68,-0.928,1.622,0.014,0.013,2529.0,1540.0,1.0
"beta[32, 0]",-0.029,0.022,-0.07,0.01,0.001,0.001,858.0,1445.0,1.0
"beta[32, 1]",0.67,0.325,0.086,1.289,0.008,0.006,1564.0,1805.0,1.0
"beta[32, 2]",0.816,0.722,-0.499,2.225,0.014,0.012,2681.0,1603.0,1.0
"beta[33, 0]",-0.021,0.021,-0.059,0.019,0.001,0.001,879.0,1588.0,1.0
"beta[33, 1]",-0.838,0.33,-1.473,-0.226,0.009,0.006,1473.0,1673.0,1.0
"beta[33, 2]",0.443,0.712,-0.889,1.758,0.014,0.013,2506.0,1338.0,1.0
"beta[34, 0]",-0.03,0.021,-0.07,0.01,0.001,0.0,940.0,1228.0,1.0
"beta[34, 1]",-0.301,0.327,-0.928,0.279,0.009,0.006,1344.0,1412.0,1.0
"beta[34, 2]",0.547,0.719,-0.861,1.842,0.014,0.013,2802.0,1489.0,1.0
"beta[35, 0]",-0.014,0.021,-0.054,0.026,0.001,0.001,890.0,1542.0,1.0
"beta[35, 1]",0.042,0.325,-0.534,0.668,0.008,0.006,1453.0,1501.0,1.0
"beta[35, 2]",0.344,0.707,-1.001,1.594,0.015,0.013,2289.0,1552.0,1.0
chol_cov[0],0.31,0.008,0.296,0.325,0.001,0.001,88.0,176.0,1.04
chol_cov[1],0.051,0.041,-0.021,0.131,0.001,0.001,2565.0,1847.0,1.0
chol_cov[2],3.948,0.027,3.897,3.998,0.0,0.0,3423.0,1600.0,1.0
chol_cov[3],-12.471,0.163,-12.776,-12.157,0.014,0.01,138.0,358.0,1.02
chol_cov[4],-0.016,0.091,-0.166,0.167,0.002,0.002,2355.0,1800.0,1.0
chol_cov[5],8.349,0.195,7.991,8.709,0.02,0.014,92.0,215.0,1.04
"chol_cov_corr[0, 0]",1.0,0.0,1.0,1.0,0.0,0.0,2000.0,2000.0,
"chol_cov_corr[0, 1]",0.013,0.01,-0.006,0.032,0.0,0.0,2567.0,1847.0,1.0
"chol_cov_corr[0, 2]",-0.831,0.009,-0.847,-0.814,0.001,0.001,92.0,194.0,1.04
"chol_cov_corr[1, 0]",0.013,0.01,-0.006,0.032,0.0,0.0,2567.0,1847.0,1.0
"chol_cov_corr[1, 1]",1.0,0.0,1.0,1.0,0.0,0.0,1817.0,1806.0,1.0
"chol_cov_corr[1, 2]",-0.012,0.01,-0.029,0.008,0.0,0.0,3344.0,1626.0,1.0
"chol_cov_corr[2, 0]",-0.831,0.009,-0.847,-0.814,0.001,0.001,92.0,194.0,1.04
"chol_cov_corr[2, 1]",-0.012,0.01,-0.029,0.008,0.0,0.0,3344.0,1626.0,1.0
"chol_cov_corr[2, 2]",1.0,0.0,1.0,1.0,0.0,0.0,2149.0,2000.0,1.0
chol_cov_stds[0],0.31,0.008,0.296,0.325,0.001,0.001,88.0,176.0,1.04
chol_cov_stds[1],3.948,0.027,3.898,3.998,0.0,0.0,3418.0,1627.0,1.0
chol_cov_stds[2],15.01,0.092,14.838,15.179,0.002,0.001,3195.0,1606.0,1.0
"mu[0, 0]",3.526,0.082,3.374,3.681,0.001,0.001,4235.0,1510.0,1.0
"mu[0, 1]",27.889,0.925,26.052,29.476,0.014,0.01,4673.0,1433.0,1.0
"mu[0, 2]",44.99,1.152,43.015,47.332,0.018,0.012,4272.0,1235.0,1.0
"mu[1, 0]",3.627,0.082,3.465,3.772,0.001,0.001,4538.0,1486.0,1.0
"mu[1, 1]",24.974,0.927,23.322,26.837,0.013,0.009,4827.0,1474.0,1.0
"mu[1, 2]",47.319,1.203,44.967,49.372,0.018,0.013,4382.0,1619.0,1.0
"mu[2, 0]",3.653,0.082,3.49,3.793,0.001,0.001,4540.0,1410.0,1.0
"mu[2, 1]",26.532,0.924,24.848,28.262,0.014,0.01,4635.0,1364.0,1.0
"mu[2, 2]",50.555,1.198,48.379,52.863,0.018,0.013,4479.0,1256.0,1.0
"mu[3, 0]",3.682,0.082,3.525,3.833,0.001,0.001,4105.0,1501.0,1.0
"mu[3, 1]",26.257,0.912,24.597,27.94,0.014,0.01,4131.0,1309.0,1.0
"mu[3, 2]",49.604,1.208,47.201,51.683,0.018,0.013,4464.0,1361.0,1.0
"mu[4, 0]",3.49,0.082,3.328,3.634,0.001,0.001,4368.0,1415.0,1.0
"mu[4, 1]",24.94,0.913,23.187,26.566,0.013,0.01,4643.0,1360.0,1.0
"mu[4, 2]",49.101,1.209,46.98,51.391,0.018,0.013,4434.0,1409.0,1.0
"mu[5, 0]",7.415,0.081,7.278,7.587,0.002,0.002,1410.0,1428.0,1.0
"mu[5, 1]",23.845,0.888,22.226,25.45,0.014,0.01,4119.0,1476.0,1.0
"mu[5, 2]",45.991,1.106,43.994,48.055,0.017,0.012,4135.0,1575.0,1.01
"mu[6, 0]",7.48,0.082,7.313,7.625,0.002,0.002,1287.0,1373.0,1.0
"mu[6, 1]",22.311,0.875,20.664,23.839,0.014,0.01,3977.0,1528.0,1.0
"mu[6, 2]",48.476,1.26,46.102,50.791,0.02,0.014,3860.0,1499.0,1.0
"mu[7, 0]",7.508,0.082,7.354,7.668,0.002,0.002,1523.0,1372.0,1.0
"mu[7, 1]",23.929,0.882,22.36,25.583,0.014,0.01,4237.0,1778.0,1.0
"mu[7, 2]",51.916,1.18,49.66,53.981,0.019,0.013,4011.0,1555.0,1.0
"mu[8, 0]",7.552,0.081,7.405,7.713,0.002,0.002,1216.0,1462.0,1.01
"mu[8, 1]",23.38,0.882,21.874,25.08,0.014,0.01,3829.0,1587.0,1.0
"mu[8, 2]",50.968,1.197,48.692,53.197,0.018,0.013,4501.0,1515.0,1.0
"mu[9, 0]",7.372,0.081,7.22,7.521,0.002,0.001,1617.0,1454.0,1.0
"mu[9, 1]",22.404,0.883,20.812,23.981,0.014,0.01,3924.0,1460.0,1.0
"mu[9, 2]",50.475,1.228,48.166,52.738,0.017,0.012,5337.0,1583.0,1.0
"mu[10, 0]",7.971,0.078,7.816,8.11,0.002,0.001,2588.0,1590.0,1.0
"mu[10, 1]",23.598,0.938,21.843,25.345,0.013,0.01,4846.0,1621.0,1.0
"mu[10, 2]",46.086,1.083,44.129,48.181,0.018,0.013,3608.0,1726.0,1.0
"mu[11, 0]",8.035,0.079,7.889,8.184,0.002,0.001,2163.0,1523.0,1.0
"mu[11, 1]",22.064,0.942,20.343,23.814,0.013,0.009,4943.0,1602.0,1.0
"mu[11, 2]",48.571,1.146,46.564,50.814,0.018,0.013,4187.0,1582.0,1.0
"mu[12, 0]",8.063,0.078,7.91,8.202,0.002,0.001,2448.0,1554.0,1.0
"mu[12, 1]",23.681,0.941,21.903,25.402,0.014,0.01,4611.0,1354.0,1.0
"mu[12, 2]",52.01,1.146,49.835,54.132,0.018,0.013,3996.0,1606.0,1.0
"mu[13, 0]",8.107,0.078,7.958,8.249,0.002,0.001,2209.0,1585.0,1.0
"mu[13, 1]",23.133,0.94,21.396,24.828,0.013,0.009,5272.0,1689.0,1.0
"mu[13, 2]",51.062,1.178,48.93,53.329,0.019,0.013,4008.0,1498.0,1.0
"mu[14, 0]",7.927,0.079,7.773,8.07,0.002,0.001,2323.0,1508.0,1.0
"mu[14, 1]",22.157,0.942,20.566,24.08,0.013,0.01,4881.0,1622.0,1.0
"mu[14, 2]",50.569,1.205,48.417,52.893,0.018,0.013,4442.0,1485.0,1.0
"mu[15, 0]",4.335,0.085,4.177,4.492,0.002,0.001,2964.0,1216.0,1.01
"mu[15, 1]",25.426,0.853,23.765,27.017,0.012,0.009,4860.0,1204.0,1.0
"mu[15, 2]",45.959,1.111,43.963,48.114,0.018,0.013,3591.0,1443.0,1.0
"mu[16, 0]",4.428,0.086,4.256,4.581,0.001,0.001,3343.0,1153.0,1.0
"mu[16, 1]",23.063,0.861,21.366,24.692,0.012,0.008,5250.0,976.0,1.0
"mu[16, 2]",48.461,1.189,46.21,50.636,0.019,0.014,3862.0,1576.0,1.0
"mu[17, 0]",4.46,0.085,4.3,4.625,0.002,0.001,3094.0,1130.0,1.01
"mu[17, 1]",24.47,0.861,22.762,26.014,0.013,0.009,4558.0,1191.0,1.0
"mu[17, 2]",51.6,1.154,49.454,53.788,0.02,0.014,3408.0,1464.0,1.0
"mu[18, 0]",4.487,0.086,4.324,4.652,0.002,0.001,3246.0,1078.0,1.01
"mu[18, 1]",24.214,0.873,22.508,25.804,0.013,0.009,4593.0,1001.0,1.01
"mu[18, 2]",50.825,1.223,48.527,53.095,0.02,0.014,3907.0,1389.0,1.0
"mu[19, 0]",4.321,0.085,4.148,4.471,0.002,0.001,2958.0,1060.0,1.0
"mu[19, 1]",22.816,0.872,21.163,24.462,0.012,0.009,4873.0,1065.0,1.0
"mu[19, 2]",49.94,1.187,47.87,52.288,0.019,0.013,3998.0,1329.0,1.0
"mu[20, 0]",4.868,0.078,4.728,5.024,0.001,0.001,3943.0,1439.0,1.0
"mu[20, 1]",25.348,0.917,23.49,26.966,0.014,0.01,4124.0,1308.0,1.0
"mu[20, 2]",44.207,1.125,42.072,46.257,0.021,0.015,2739.0,1165.0,1.0
"mu[21, 0]",4.968,0.079,4.824,5.118,0.001,0.001,4406.0,1518.0,1.0
"mu[21, 1]",23.445,0.912,21.653,25.014,0.014,0.01,4367.0,1238.0,1.0
"mu[21, 2]",46.558,1.211,44.323,48.742,0.021,0.015,3189.0,1293.0,1.0
"mu[22, 0]",4.982,0.079,4.844,5.136,0.001,0.001,4210.0,1257.0,1.0
"mu[22, 1]",24.816,0.916,23.158,26.585,0.015,0.01,3933.0,1322.0,1.0
"mu[22, 2]",49.65,1.149,47.644,51.916,0.02,0.014,3209.0,1504.0,1.0
"mu[23, 0]",5.005,0.079,4.864,5.166,0.001,0.001,4095.0,1320.0,1.0
"mu[23, 1]",24.464,0.92,22.626,26.076,0.014,0.01,4219.0,1280.0,1.0
"mu[23, 2]",48.893,1.203,46.664,51.107,0.021,0.015,3271.0,1542.0,1.0
"mu[24, 0]",4.839,0.079,4.704,5.0,0.001,0.001,4233.0,1492.0,1.0
"mu[24, 1]",23.279,0.908,21.552,24.929,0.014,0.01,3901.0,1270.0,1.0
"mu[24, 2]",48.219,1.186,46.057,50.471,0.02,0.014,3355.0,1237.0,1.0
"mu[25, 0]",4.924,0.078,4.788,5.075,0.001,0.001,3849.0,1573.0,1.0
"mu[25, 1]",24.667,0.916,23.006,26.414,0.016,0.011,3353.0,1065.0,1.0
"mu[25, 2]",46.331,1.053,44.288,48.242,0.016,0.011,4389.0,1666.0,1.0
"mu[26, 0]",5.045,0.077,4.903,5.19,0.001,0.001,4090.0,1431.0,1.0
"mu[26, 1]",22.481,0.911,20.737,24.12,0.014,0.01,3982.0,1138.0,1.0
"mu[26, 2]",48.405,1.09,46.514,50.497,0.017,0.012,4079.0,1543.0,1.0
"mu[27, 0]",5.065,0.077,4.93,5.216,0.001,0.001,3952.0,1608.0,1.0
"mu[27, 1]",23.942,0.921,22.276,25.711,0.016,0.011,3512.0,1130.0,1.0
"mu[27, 2]",51.3,1.088,49.285,53.287,0.02,0.014,3014.0,1694.0,1.0
"mu[28, 0]",5.085,0.078,4.938,5.227,0.001,0.001,3766.0,1583.0,1.0
"mu[28, 1]",23.654,0.924,21.897,25.305,0.015,0.011,3677.0,1226.0,1.0
"mu[28, 2]",50.546,1.091,48.373,52.439,0.018,0.013,3885.0,1536.0,1.0
"mu[29, 0]",4.91,0.078,4.767,5.056,0.001,0.001,4188.0,1534.0,1.0
"mu[29, 1]",22.555,0.918,20.835,24.261,0.015,0.011,3634.0,1203.0,1.0
"mu[29, 2]",49.999,1.083,48.022,52.018,0.019,0.013,3380.0,1551.0,1.0
"mu[30, 0]",9.451,0.086,9.299,9.617,0.002,0.001,1746.0,1216.0,1.0
"mu[30, 1]",25.581,0.871,23.867,27.121,0.014,0.01,4051.0,1691.0,1.0
"mu[30, 2]",44.144,1.099,42.054,46.146,0.018,0.013,3852.0,1339.0,1.0
"mu[31, 0]",9.553,0.086,9.402,9.734,0.002,0.001,1792.0,1324.0,1.0
"mu[31, 1]",22.666,0.86,21.146,24.379,0.014,0.01,3806.0,1723.0,1.0
"mu[31, 2]",46.473,1.151,44.41,48.774,0.017,0.012,4369.0,1398.0,1.0
"mu[32, 0]",9.578,0.086,9.419,9.744,0.002,0.002,1590.0,1215.0,1.0
"mu[32, 1]",24.224,0.865,22.65,25.815,0.014,0.01,3910.0,1690.0,1.0
"mu[32, 2]",49.708,1.172,47.439,51.907,0.019,0.013,3986.0,1463.0,1.0
"mu[33, 0]",9.607,0.087,9.445,9.771,0.002,0.001,1772.0,1240.0,1.0
"mu[33, 1]",23.949,0.856,22.378,25.548,0.013,0.009,4186.0,1636.0,1.0
"mu[33, 2]",48.758,1.183,46.582,50.978,0.019,0.013,3908.0,1498.0,1.0
"mu[34, 0]",9.415,0.086,9.263,9.582,0.002,0.001,1705.0,1192.0,1.0
"mu[34, 1]",22.632,0.858,21.022,24.2,0.014,0.01,3710.0,1769.0,1.0
"mu[34, 2]",48.254,1.186,46.278,50.718,0.019,0.013,4071.0,1324.0,1.0
"mu[35, 0]",7.233,0.083,7.079,7.397,0.001,0.001,6602.0,1513.0,1.0
"mu[35, 1]",24.837,0.9,23.122,26.565,0.012,0.009,5518.0,1429.0,1.0
"mu[35, 2]",45.848,1.082,43.966,47.966,0.016,0.011,4459.0,1512.0,1.01
"mu[36, 0]",7.294,0.083,7.128,7.448,0.001,0.001,6126.0,1351.0,1.0
"mu[36, 1]",22.549,0.919,20.928,24.392,0.013,0.009,5232.0,1508.0,1.0
"mu[36, 2]",48.139,1.148,45.935,50.264,0.018,0.013,4138.0,1437.0,1.0
"mu[37, 0]",7.321,0.084,7.165,7.481,0.001,0.001,5856.0,1371.0,1.0
"mu[37, 1]",23.888,0.908,22.313,25.719,0.012,0.009,5622.0,1534.0,1.0
"mu[37, 2]",51.418,1.168,49.193,53.546,0.017,0.012,4863.0,1728.0,1.0
"mu[38, 0]",7.35,0.084,7.189,7.507,0.001,0.001,6536.0,1361.0,1.0
"mu[38, 1]",23.668,0.917,21.964,25.464,0.012,0.009,5555.0,1258.0,1.0
"mu[38, 2]",50.611,1.135,48.343,52.513,0.016,0.011,5160.0,1633.0,1.0
"mu[39, 0]",7.189,0.083,7.039,7.358,0.001,0.001,6271.0,1374.0,1.0
"mu[39, 1]",22.426,0.906,20.741,24.192,0.012,0.008,5481.0,1323.0,1.0
"mu[39, 2]",50.063,1.179,47.979,52.374,0.016,0.012,5141.0,1394.0,1.0
"mu[40, 0]",5.563,0.08,5.42,5.728,0.001,0.001,4880.0,1488.0,1.0
"mu[40, 1]",24.066,0.856,22.453,25.736,0.013,0.009,4139.0,1252.0,1.0
"mu[40, 2]",45.725,1.081,43.857,47.804,0.016,0.011,4444.0,1792.0,1.0
"mu[41, 0]",5.623,0.079,5.468,5.773,0.001,0.001,4714.0,1469.0,1.0
"mu[41, 1]",21.778,0.867,20.26,23.606,0.013,0.009,4341.0,1184.0,1.0
"mu[41, 2]",48.016,1.167,45.918,50.173,0.017,0.012,4770.0,1404.0,1.0
"mu[42, 0]",5.65,0.08,5.495,5.807,0.001,0.001,4618.0,1382.0,1.0
"mu[42, 1]",23.117,0.862,21.551,24.881,0.014,0.01,3932.0,1289.0,1.0
"mu[42, 2]",51.295,1.209,49.0,53.428,0.017,0.012,4928.0,1866.0,1.0
"mu[43, 0]",5.679,0.08,5.525,5.831,0.001,0.001,4803.0,1480.0,1.0
"mu[43, 1]",22.896,0.864,21.341,24.705,0.013,0.009,4216.0,1283.0,1.0
"mu[43, 2]",50.488,1.194,48.333,52.735,0.018,0.012,4609.0,1505.0,1.0
"mu[44, 0]",5.518,0.08,5.36,5.671,0.001,0.001,4777.0,1581.0,1.0
"mu[44, 1]",21.654,0.871,20.154,23.445,0.013,0.009,4283.0,1129.0,1.0
"mu[44, 2]",49.94,1.182,47.879,52.278,0.019,0.013,3946.0,1727.0,1.0
"mu[45, 0]",3.965,0.084,3.811,4.122,0.001,0.001,3871.0,1363.0,1.0
"mu[45, 1]",24.432,0.905,22.849,26.185,0.012,0.008,6012.0,1322.0,1.0
"mu[45, 2]",47.12,1.099,44.902,48.958,0.016,0.011,4551.0,1712.0,1.0
"mu[46, 0]",4.03,0.084,3.874,4.187,0.001,0.001,4075.0,1341.0,1.0
"mu[46, 1]",22.898,0.903,21.257,24.555,0.012,0.009,5382.0,1402.0,1.0
"mu[46, 2]",49.605,1.206,47.331,51.744,0.02,0.014,3700.0,1536.0,1.0
"mu[47, 0]",4.058,0.084,3.909,4.225,0.001,0.001,4194.0,1332.0,1.0
"mu[47, 1]",24.515,0.909,22.859,26.215,0.012,0.008,5913.0,1467.0,1.0
"mu[47, 2]",53.044,1.188,50.994,55.352,0.02,0.014,3743.0,1232.0,1.0
"mu[48, 0]",4.102,0.084,3.948,4.26,0.001,0.001,4250.0,1300.0,1.0
"mu[48, 1]",23.966,0.909,22.289,25.643,0.012,0.009,5340.0,1513.0,1.0
"mu[48, 2]",52.096,1.211,49.796,54.311,0.017,0.012,5094.0,1367.0,1.0
"mu[49, 0]",3.922,0.085,3.768,4.084,0.001,0.001,4053.0,1456.0,1.0
"mu[49, 1]",22.991,0.902,21.328,24.622,0.012,0.009,5423.0,1433.0,1.0
"mu[49, 2]",51.603,1.235,49.242,53.762,0.017,0.012,5535.0,1502.0,1.0
"mu[50, 0]",5.543,0.081,5.375,5.68,0.002,0.001,1878.0,1366.0,1.0
"mu[50, 1]",25.437,0.878,23.751,27.06,0.013,0.009,4654.0,1216.0,1.0
"mu[50, 2]",43.521,1.101,41.413,45.49,0.018,0.013,3724.0,1604.0,1.0
"mu[51, 0]",5.637,0.082,5.485,5.789,0.002,0.001,1783.0,1460.0,1.0
"mu[51, 1]",23.318,0.888,21.515,24.862,0.013,0.009,4750.0,1247.0,1.0
"mu[51, 2]",45.542,1.197,43.309,47.845,0.019,0.013,4080.0,1778.0,1.0
"mu[52, 0]",5.659,0.082,5.505,5.808,0.002,0.001,1758.0,1481.0,1.0
"mu[52, 1]",24.726,0.882,22.971,26.357,0.014,0.01,4243.0,1186.0,1.0
"mu[52, 2]",48.78,1.192,46.641,51.135,0.018,0.013,4303.0,1285.0,1.0
"mu[53, 0]",5.69,0.083,5.537,5.843,0.002,0.001,1685.0,1236.0,1.0
"mu[53, 1]",24.501,0.881,22.887,26.178,0.013,0.01,4251.0,1266.0,1.0
