,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"mu[10378, 0]",5.505,0.078,5.371,5.658,0.001,0.001,3210.0,1341.0,1.0
"mu[10378, 1]",23.07,0.872,21.48,24.773,0.013,0.009,4650.0,1425.0,1.0
"mu[10378, 2]",50.394,1.198,48.297,52.682,0.018,0.013,4344.0,1475.0,1.0
"mu[10379, 0]",5.344,0.079,5.194,5.485,0.001,0.001,3321.0,1301.0,1.0
"mu[10379, 1]",21.828,0.862,20.198,23.443,0.013,0.009,4461.0,1373.0,1.0
"mu[10379, 2]",49.846,1.216,47.568,52.124,0.019,0.013,4192.0,1142.0,1.0
"mu[10380, 0]",6.53,0.077,6.39,6.68,0.001,0.001,4612.0,1553.0,1.0
"mu[10380, 1]",23.318,0.908,21.677,25.105,0.011,0.008,6587.0,1247.0,1.0
"mu[10380, 2]",44.281,1.108,42.364,46.467,0.018,0.013,3748.0,1635.0,1.0
"mu[10381, 0]",6.63,0.078,6.483,6.773,0.001,0.001,4962.0,1491.0,1.0
"mu[10381, 1]",21.416,0.92,19.69,23.195,0.012,0.008,6279.0,956.0,1.0
"mu[10381, 2]",46.632,1.191,44.409,48.86,0.018,0.013,4275.0,1876.0,1.0
"mu[10382, 0]",6.644,0.076,6.5,6.783,0.001,0.001,4829.0,1593.0,1.0
"mu[10382, 1]",22.786,0.921,21.219,24.718,0.012,0.009,5894.0,1045.0,1.0
"mu[10382, 2]",49.724,1.175,47.577,51.965,0.017,0.012,5043.0,1625.0,1.0
"mu[10383, 0]",6.667,0.077,6.518,6.812,0.001,0.001,5295.0,1417.0,1.0
"mu[10383, 1]",22.434,0.919,20.756,24.213,0.011,0.008,6602.0,1346.0,1.0
"mu[10383, 2]",48.968,1.171,46.739,51.115,0.018,0.013,4064.0,1611.0,1.0
"mu[10384, 0]",6.501,0.077,6.356,6.646,0.001,0.001,4672.0,1556.0,1.0
"mu[10384, 1]",21.249,0.92,19.438,22.932,0.012,0.008,6299.0,1369.0,1.0
"mu[10384, 2]",48.293,1.217,45.94,50.517,0.019,0.013,4215.0,1454.0,1.0
"mu[10385, 0]",3.353,0.082,3.206,3.503,0.001,0.001,2955.0,1402.0,1.0
"mu[10385, 1]",25.037,0.872,23.449,26.708,0.013,0.009,4410.0,1486.0,1.0
"mu[10385, 2]",47.022,1.106,44.859,49.006,0.018,0.013,3769.0,1235.0,1.0
"mu[10386, 0]",3.418,0.082,3.272,3.572,0.001,0.001,3475.0,1559.0,1.0
"mu[10386, 1]",23.503,0.88,21.844,25.131,0.013,0.009,4376.0,1509.0,1.0
"mu[10386, 2]",49.506,1.195,47.281,51.695,0.019,0.013,3997.0,1391.0,1.0
"mu[10387, 0]",3.446,0.082,3.297,3.596,0.001,0.001,3011.0,1423.0,1.0
"mu[10387, 1]",25.12,0.885,23.495,26.851,0.013,0.01,4321.0,1584.0,1.0
"mu[10387, 2]",52.946,1.2,50.585,55.084,0.019,0.013,3984.0,1372.0,1.0
"mu[10388, 0]",3.49,0.082,3.335,3.638,0.001,0.001,3376.0,1379.0,1.0
"mu[10388, 1]",24.571,0.878,22.95,26.302,0.014,0.01,3930.0,1363.0,1.0
"mu[10388, 2]",51.998,1.23,49.751,54.349,0.019,0.014,4125.0,1278.0,1.0
"mu[10389, 0]",3.31,0.082,3.154,3.454,0.001,0.001,3172.0,1438.0,1.0
"mu[10389, 1]",23.596,0.88,22.058,25.378,0.014,0.01,4205.0,1488.0,1.0
"mu[10389, 2]",51.505,1.204,49.28,53.791,0.018,0.013,4280.0,1653.0,1.0
"mu[10390, 0]",7.532,0.083,7.378,7.691,0.002,0.001,2407.0,1205.0,1.0
"mu[10390, 1]",25.61,0.862,24.019,27.207,0.013,0.009,4180.0,1509.0,1.0
"mu[10390, 2]",45.238,1.14,43.173,47.417,0.017,0.012,4455.0,1530.0,1.0
"mu[10391, 0]",7.593,0.084,7.426,7.744,0.002,0.001,2148.0,1115.0,1.0
"mu[10391, 1]",23.322,0.879,21.695,24.952,0.013,0.009,4381.0,1585.0,1.0
"mu[10391, 2]",47.53,1.215,45.438,50.022,0.018,0.013,4483.0,1500.0,1.0
"mu[10392, 0]",7.62,0.084,7.456,7.772,0.002,0.001,2234.0,1134.0,1.0
"mu[10392, 1]",24.661,0.873,22.952,26.264,0.014,0.01,4054.0,1529.0,1.0
"mu[10392, 2]",50.808,1.2,48.42,52.914,0.017,0.012,5263.0,1463.0,1.0
"mu[10393, 0]",7.649,0.082,7.494,7.803,0.002,0.001,2062.0,1283.0,1.0
