Factor,Groups,df_between,df_within,F,p-value,Levene_p,GroupName_1,N_1,Mean_1,Std_1,Shapiro_p_1,Normal_1,GroupName_2,N_2,Mean_2,Std_2,Shapiro_p_2,Normal_2,GroupName_3,N_3,Mean_3,Std_3,Shapiro_p_3,Normal_3,GroupName_4,N_4,Mean_4,Std_4,Shapiro_p_4,Normal_4,GroupName_5,N_5,Mean_5,Std_5,Shapiro_p_5,Normal_5,Subset
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,11875,63.72335789065669,2.166857559238837e-53,8.230476317140111e-64,2001 Reinhard,2376,1.7081493148799698,0.9019786041202102,7.736154216433407e-49,False,2016 Zhang,2376,1.7012752697925375,0.941576126991851,8.640643405582288e-50,False,2017 Zhang,2376,2.0351151850588796,1.2498466438459068,2.68108426738875e-47,False,2018 Antic,2376,2.05920674192785,1.264534436649448,5.655791093009936e-47,False,2023 Kang,2376,2.032548028160426,1.2383828402772465,5.748826103580634e-47,False,Non-White
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,1975,9.114616541045889,2.7024948586237495e-07,1.4072940193616037e-08,2001 Reinhard,396,1.7295871211422815,0.9402303355648408,8.045582860776836e-23,False,2016 Zhang,396,1.7062849956329422,0.9444493545552144,3.4505845677841395e-23,False,2017 Zhang,396,2.040966540273994,1.2675948403434611,5.872425123768706e-22,False,2018 Antic,396,2.054196459476394,1.2620148256903452,1.2410972618239579e-21,False,2023 Kang,396,1.9933190710014768,1.2151360732425902,7.506172457976717e-22,False,Black
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,1975,10.366333411851707,2.6160392627634596e-08,3.1240814876238973e-09,2001 Reinhard,396,1.6292150472149705,0.858448576506941,5.539065502146357e-24,False,2016 Zhang,396,1.6533057078568623,0.9525825745677955,7.517550718601989e-25,False,2017 Zhang,396,1.945899086167114,1.2233847627776788,5.2486002576820056e-23,False,2018 Antic,396,1.989404721091492,1.2481687291265748,1.4024519112230257e-22,False,2023 Kang,396,1.9700930157695153,1.2227476366399446,1.795289569983523e-22,False,East Asian
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,1975,9.693602092224127,9.186730775407458e-08,1.338776800642428e-09,2001 Reinhard,396,1.7090869976414576,0.8803672499896295,3.3738654944714404e-22,False,2016 Zhang,396,1.6890227090228687,0.9172054417721387,3.290121556536564e-23,False,2017 Zhang,396,2.0116311173246366,1.2252525676952273,8.542641862566468e-22,False,2018 Antic,396,2.0281517981278774,1.2397017730668545,1.190611679793208e-21,False,2023 Kang,396,2.005873116579923,1.2226184193032206,9.40727379053538e-22,False,Indian
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,1975,13.109954580546942,1.532210480457871e-10,4.2019298364064404e-15,2001 Reinhard,396,1.7645989081474265,0.9188394147508394,2.0105709675152636e-21,False,2016 Zhang,396,1.7741814312910793,0.9795636727896062,4.460922572431773e-22,False,2017 Zhang,396,2.154361268185606,1.2968101088934791,2.0450753691355108e-20,False,2018 Antic,396,2.1763954809819808,1.3081133634694027,2.92617507252669e-20,False,2023 Kang,396,2.1395089641363936,1.276621130843995,2.797186671725475e-20,False,Latino_Hispanic
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,1975,10.198228392554313,3.581402195144731e-08,7.682030573377953e-09,2001 Reinhard,396,1.708628432618247,0.9313388863928731,8.407917409554684e-24,False,2016 Zhang,396,1.700128332231984,0.9693747429656677,3.788074550252878e-24,False,2017 Zhang,396,2.0446131789323054,1.3027053680504335,8.492663596932243e-23,False,2018 Antic,396,2.0625571129900035,1.3163095384036494,1.1717322783774822e-22,False,2023 Kang,396,2.0365275138556354,1.2866755869450952,1.2237288819681411e-22,False,Middle Eastern
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,1975,11.788933172215032,1.825211180768547e-09,3.994794864492355e-12,2001 Reinhard,396,1.7077793825154353,0.87983872005777,1.912594576430265e-22,False,2016 Zhang,396,1.6847284427194884,0.8846651759759312,1.3206374730584277e-22,False,2017 Zhang,396,2.0132199194696216,1.1771199221965076,7.107395728697752e-21,False,2018 Antic,396,2.044534878899353,1.209692107233745,7.541179526751319e-21,False,2023 Kang,396,2.0499664876196118,1.2046782808013483,1.3796893011556218e-20,False,Southeast Asian
