Factor,Groups,df_between,df_within,F,p-value,Levene_p,GroupName_1,N_1,Mean_1,Std_1,Shapiro_p_1,Normal_1,GroupName_2,N_2,Mean_2,Std_2,Shapiro_p_2,Normal_2,GroupName_3,N_3,Mean_3,Std_3,Shapiro_p_3,Normal_3,GroupName_4,N_4,Mean_4,Std_4,Shapiro_p_4,Normal_4,GroupName_5,N_5,Mean_5,Std_5,Shapiro_p_5,Normal_5,Subset
Model,"2016 Zhang,2018 Antic,2017 Zhang,2023 Kang,2001 Reinhard",4,11875,227.89946151998748,8.071148809116432e-189,8.341385908375907e-124,2016 Zhang,2376,0.9990766431100745,0.001226408896481197,7.494977920974467e-63,False,2018 Antic,2376,0.9999753794919155,6.857206773556774e-05,3.293060647396017e-70,False,2017 Zhang,2376,0.9991457140205702,0.0013986140929197364,9.040693229876746e-64,False,2023 Kang,2376,0.9988576019520162,0.0010789609356069837,1.2701182430381506e-57,False,2001 Reinhard,2376,0.9984772113702286,0.003348023993305887,1.3453106488570654e-67,False,Non-White
Model,"2016 Zhang,2018 Antic,2017 Zhang,2023 Kang,2001 Reinhard",4,1975,43.566906749220834,4.410612779104344e-35,3.463600617689296e-23,2016 Zhang,396,0.999090443399967,0.0015147249120181254,1.588215075689086e-34,False,2018 Antic,396,0.9999760349135839,8.227180252055977e-05,1.8454346939690183e-37,False,2017 Zhang,396,0.9992341725805893,0.0011000037400315159,1.2452075402413646e-30,False,2023 Kang,396,0.9988244771619668,0.001159144116572601,2.5739999855054166e-29,False,2001 Reinhard,396,0.9984367223779325,0.0031500154830574226,3.0718389157244913e-33,False,East Asian
Model,"2016 Zhang,2018 Antic,2017 Zhang,2023 Kang,2001 Reinhard",4,1975,53.32265645134158,1.0155855088018827e-42,1.000725824232354e-27,2016 Zhang,396,0.9990675547321856,0.0011509627955154779,2.1950030469545937e-29,False,2018 Antic,396,0.9999800093549933,3.6384153699726485e-05,4.0828146354579405e-32,False,2017 Zhang,396,0.9991628246992068,0.0012724057755219272,7.72370380961952e-31,False,2023 Kang,396,0.99884384078565,0.0009233464818394963,5.4741686769053835e-25,False,2001 Reinhard,396,0.9985756575400458,0.002562780463901565,8.802482812735179e-32,False,Indian
Model,"2016 Zhang,2018 Antic,2017 Zhang,2023 Kang,2001 Reinhard",4,1975,56.70248295708101,2.4496302318467896e-45,2.3393651375924713e-31,2016 Zhang,396,0.9989912156005651,0.0015005051420977382,5.605685683177993e-33,False,2018 Antic,396,0.999968563985183,9.963363062754464e-05,2.931186508099119e-37,False,2017 Zhang,396,0.9991591287213978,0.0013967388867946336,1.3027880149082904e-32,False,2023 Kang,396,0.9987265926899042,0.0011932137962733166,5.624316994473323e-28,False,2001 Reinhard,396,0.9981930407132168,0.003018252375942217,1.3503695986987297e-30,False,Southeast Asian
Model,"2016 Zhang,2018 Antic,2017 Zhang,2023 Kang,2001 Reinhard",4,1975,18.555222539736654,5.546854469900683e-15,4.751172366519931e-10,2016 Zhang,396,0.9990546295447701,0.0010339562885465815,1.3213476718154886e-27,False,2018 Antic,396,0.9999692486221872,6.688406361080623e-05,3.519420503428347e-33,False,2017 Zhang,396,0.9990258397805477,0.0015826167854109776,1.5322551958130997e-31,False,2023 Kang,396,0.9989003276478445,0.0012295401360072945,1.004023642215495e-30,False,2001 Reinhard,396,0.9983859415143898,0.0054581030318213665,8.35756479253038e-38,False,Middle Eastern
Model,"2016 Zhang,2018 Antic,2017 Zhang,2023 Kang,2001 Reinhard",4,1975,43.56172654724842,4.4523235931876837e-35,2.3982778831921724e-22,2016 Zhang,396,0.9991898747349705,0.0008873902827842981,1.8187312356346005e-28,False,2018 Antic,396,0.999979171940072,3.661159748412222e-05,4.08897398362731e-31,False,2017 Zhang,396,0.9991316953364872,0.0017596098087331355,1.395762605824754e-34,False,2023 Kang,396,0.998891234135227,0.0010844980440499576,7.745276779998993e-29,False,2001 Reinhard,396,0.9986251350122604,0.002579574620148064,1.6396733224706606e-32,False,Latino_Hispanic
Model,"2016 Zhang,2018 Antic,2017 Zhang,2023 Kang,2001 Reinhard",4,1975,57.1658213081486,1.0749709563854661e-45,8.442941847946939e-30,2016 Zhang,396,0.9990661406479894,0.0011381219638091477,7.92824114731508e-31,False,2018 Antic,396,0.9999792481354732,6.560101030453699e-05,1.1241021444469433e-37,False,2017 Zhang,396,0.9991606230051924,0.0011651342481560766,5.172199470245159e-30,False,2023 Kang,396,0.9989591392915053,0.0008124233226648861,9.799713732709696e-23,False,2001 Reinhard,396,0.9986467710635264,0.002280496954370254,5.1993820878195085e-31,False,Black
