Dataset,Number,Age,Gender,Race,Model,Score,Metric,Lower Better
train,54661,20-29,Female,Black,2001 Reinhard,-0.5750925540924072,WaDIQaM (NR),False
train,58080,20-29,Female,Black,2001 Reinhard,-0.5749413371086121,WaDIQaM (NR),False
train,7140,20-29,Female,Black,2001 Reinhard,-0.9444134831428528,WaDIQaM (NR),False
train,8093,20-29,Female,Black,2001 Reinhard,-0.818251371383667,WaDIQaM (NR),False
train,82348,20-29,Female,Black,2001 Reinhard,-0.29214417934417725,WaDIQaM (NR),False
val,5107,20-29,Female,Black,2001 Reinhard,-0.6548635363578796,WaDIQaM (NR),False
val,7575,20-29,Female,Black,2001 Reinhard,-1.041724443435669,WaDIQaM (NR),False
train,11054,30-39,Female,Black,2001 Reinhard,-0.08657197654247284,WaDIQaM (NR),False
train,15004,30-39,Female,Black,2001 Reinhard,-0.8968510627746582,WaDIQaM (NR),False
train,18597,30-39,Female,Black,2001 Reinhard,-0.7186747789382935,WaDIQaM (NR),False
train,19923,30-39,Female,Black,2001 Reinhard,-0.8305538296699524,WaDIQaM (NR),False
train,21094,30-39,Female,Black,2001 Reinhard,-0.508720338344574,WaDIQaM (NR),False
train,32185,30-39,Female,Black,2001 Reinhard,-0.982908308506012,WaDIQaM (NR),False
train,35877,30-39,Female,Black,2001 Reinhard,-0.9361687302589417,WaDIQaM (NR),False
train,39496,30-39,Female,Black,2001 Reinhard,-1.0213969945907593,WaDIQaM (NR),False
train,39823,30-39,Female,Black,2001 Reinhard,-0.714073657989502,WaDIQaM (NR),False
train,40347,30-39,Female,Black,2001 Reinhard,-0.38643160462379456,WaDIQaM (NR),False
train,43250,30-39,Female,Black,2001 Reinhard,-1.03384530544281,WaDIQaM (NR),False
train,43966,30-39,Female,Black,2001 Reinhard,-0.6791915893554688,WaDIQaM (NR),False
train,44288,30-39,Female,Black,2001 Reinhard,-0.809301495552063,WaDIQaM (NR),False
train,46402,30-39,Female,Black,2001 Reinhard,-0.978929877281189,WaDIQaM (NR),False
train,49242,30-39,Female,Black,2001 Reinhard,-1.0441551208496094,WaDIQaM (NR),False
train,51925,30-39,Female,Black,2001 Reinhard,-0.774813175201416,WaDIQaM (NR),False
train,58712,30-39,Female,Black,2001 Reinhard,-0.9728450179100037,WaDIQaM (NR),False
train,67463,30-39,Female,Black,2001 Reinhard,-0.78577721118927,WaDIQaM (NR),False
val,6526,30-39,Female,Black,2001 Reinhard,-0.6964705586433411,WaDIQaM (NR),False
val,7014,30-39,Female,Black,2001 Reinhard,-0.7478869557380676,WaDIQaM (NR),False
val,8164,30-39,Female,Black,2001 Reinhard,-0.8861676454544067,WaDIQaM (NR),False
val,8317,30-39,Female,Black,2001 Reinhard,-0.6692031621932983,WaDIQaM (NR),False
train,10833,3-9,Female,Black,2001 Reinhard,-0.7754416465759277,WaDIQaM (NR),False
train,16463,3-9,Female,Black,2001 Reinhard,-0.616145670413971,WaDIQaM (NR),False
train,18869,3-9,Female,Black,2001 Reinhard,-0.7952995896339417,WaDIQaM (NR),False
train,300,3-9,Female,Black,2001 Reinhard,-0.7750952839851379,WaDIQaM (NR),False
train,30552,3-9,Female,Black,2001 Reinhard,-0.939408540725708,WaDIQaM (NR),False
train,34704,3-9,Female,Black,2001 Reinhard,-0.9412775635719299,WaDIQaM (NR),False
train,44880,3-9,Female,Black,2001 Reinhard,-0.1771138608455658,WaDIQaM (NR),False
train,46627,3-9,Female,Black,2001 Reinhard,-0.27868854999542236,WaDIQaM (NR),False
train,51045,3-9,Female,Black,2001 Reinhard,-0.1442653387784958,WaDIQaM (NR),False
train,55193,3-9,Female,Black,2001 Reinhard,-0.8758721351623535,WaDIQaM (NR),False
train,56830,3-9,Female,Black,2001 Reinhard,-0.4909304976463318,WaDIQaM (NR),False
