Factor,Groups,df_between,df_within,F,p-value,Levene_p,GroupName_1,N_1,Mean_1,Std_1,Shapiro_p_1,Normal_1,GroupName_2,N_2,Mean_2,Std_2,Shapiro_p_2,Normal_2,GroupName_3,N_3,Mean_3,Std_3,Shapiro_p_3,Normal_3,GroupName_4,N_4,Mean_4,Std_4,Shapiro_p_4,Normal_4,GroupName_5,N_5,Mean_5,Std_5,Shapiro_p_5,Normal_5,Subset
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,11875,236.77731970982492,5.898826060539572e-196,0.028244802729388684,2001 Reinhard,2376,4.243739151192033,0.5389899799346778,7.467952559265649e-19,False,2016 Zhang,2376,3.8226908788536536,0.5235620300719309,4.602073749250814e-26,False,2017 Zhang,2376,4.014393513050144,0.5527689270689551,1.0280415600648236e-23,False,2018 Antic,2376,3.9927599476242706,0.5255083725071423,2.2323662978290144e-25,False,2023 Kang,2376,3.84471779710516,0.531189846961302,3.4710727895478908e-25,False,Non-White
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,1975,44.69835595717636,5.655429519438438e-36,0.9145628516476453,2001 Reinhard,396,4.329360280976151,0.5360769922269084,2.7739293039440655e-08,False,2016 Zhang,396,3.874569569573258,0.5321865372707305,4.431918069103912e-11,False,2017 Zhang,396,4.086289930825282,0.5519961317261078,1.3769482790496634e-09,False,2018 Antic,396,4.058418006005914,0.526367484212514,8.22415068460478e-10,False,2023 Kang,396,3.9071875389176185,0.5420974857231874,1.109585041348093e-10,False,Black
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,1975,43.4859029576287,5.110040553492089e-35,0.8111583465102306,2001 Reinhard,396,4.209474625009479,0.5037381937664753,0.0006820629967190773,False,2016 Zhang,396,3.798046994690943,0.4915107953125594,1.1986471538472887e-07,False,2017 Zhang,396,3.9755714680209304,0.5199188098067725,9.67496278576767e-08,False,2018 Antic,396,3.9653670769749265,0.5007560171955762,7.726414019081709e-09,False,2023 Kang,396,3.8068490305332223,0.506099863914831,2.2890668959382434e-07,False,East Asian
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,1975,37.32018650777635,3.965426906697101e-30,0.8017790637449588,2001 Reinhard,396,4.2408572074138755,0.5569527486026443,7.677029032287168e-09,False,2016 Zhang,396,3.8188041424510453,0.5379243063927799,3.296740050467128e-10,False,2017 Zhang,396,4.013842069741451,0.5696172277307926,1.4126521032475966e-09,False,2018 Antic,396,3.9875066605481235,0.5434190542595481,3.158764551077876e-10,False,2023 Kang,396,3.8424811923142634,0.5427672265350243,3.26044081846678e-09,False,Indian
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,1975,39.08109693453461,1.573785829186553e-31,0.6848618812333432,2001 Reinhard,396,4.234813501136472,0.5348746032173914,1.5236795675933375e-06,False,2016 Zhang,396,3.819432284494843,0.5220133764391728,7.282511876208098e-10,False,2017 Zhang,396,4.010049738667228,0.5441020437690642,6.31748368195486e-09,False,2018 Antic,396,3.980210725707237,0.5163868207243784,3.3931779899118048e-09,False,2023 Kang,396,3.8454623258475102,0.5177885222026896,3.47296839094393e-10,False,Latino_Hispanic
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,1975,35.559319447405734,1.007806147127089e-28,0.6805538431921123,2001 Reinhard,396,4.175474750273155,0.544131098681081,1.5652005281091828e-06,False,2016 Zhang,396,3.7752312566294814,0.523331294250653,3.2506073682622416e-10,False,2017 Zhang,396,3.95723549524943,0.5606517209552546,8.591275150882052e-09,False,2018 Antic,396,3.9483835155313667,0.5323193968983353,1.7972024871190101e-10,False,2023 Kang,396,3.7912498032203827,0.536292302147276,1.651273956404584e-10,False,Middle Eastern
Model,"2001 Reinhard,2016 Zhang,2017 Zhang,2018 Antic,2023 Kang",4,1975,38.4950988695096,4.6011256265031045e-31,0.6155888269579254,2001 Reinhard,396,4.272454542343063,0.5469266108576303,0.00013846092815525418,False,2016 Zhang,396,3.8500610252823493,0.5303673188718446,2.297469967177709e-09,False,2017 Zhang,396,4.043372375796539,0.5625856699269028,2.607420237506569e-07,False,2018 Antic,396,4.016673700978058,0.528677431233479,2.9047312073000174e-08,False,2023 Kang,396,3.8750768917979617,0.5358026966479691,1.5643460993663315e-08,False,Southeast Asian
