Model,Total_Metrics,Significant_Count,Proportion_Significant
2017 Zhang,28,28,1.0
2018 Antic,28,27,0.9642857142857143
2023 Kang,28,25,0.8928571428571429
2016 Zhang,28,25,0.8928571428571429
2001 Reinhard,28,28,1.0
